li	34534
e	25981
mi	19525
jan	17103
ni	15806
tawa	13402
la	12665
sina	12358
lon	11234
ala	11156
ona	10763
pi	9701
tenpo	8149
mute	7500
pona	7258
kama	7253
toki	6766
seme	6431
wile	6077
tomo	5175
sona	5121
ken	5088
o	4732
lukin	4082
pali	3990
tan	3939
pilin	3859
jo	3567
lili	3479
ma	3420
kepeken	3199
ike	3040
pini	3015
ali	2910
telo	2654
pana	2637
suli	2363
sama	2357
moku	2270
ijo	2238
ilo	2189
suno	2171
lawa	2158
anu	2069
taso	1919
meli	1735
sewi	1723
wawa	1673
nasin	1651
sitelen	1632
musi	1630
sin	1597
mije	1467
weka	1458
kin	1450
nasa	1426
soweli	1418
ante	1383
tu	1365
pakala	1347
awen	1341
lipu	1334
wan	1330
mani	1324
sike	1294
poka	1265
mama	1191
en	1180
luka	1073
kon	1003
open	1001
lape	979
kalama	975
len	943
nimi	932
kasi	883
olin	855
moli	853
seli	846
utala	831
kulupu	821
sijelo	802
pimeja	789
supa	788
kute	785
poki	760
esun	755
nanpa	736
anpa	728
insa	726
linja	690
uta	629
noka	624
suwi	613
lete	548
kiwen	507
sinpin	501
selo	491
akesi	491
kule	474
lupa	452
a	448
kili	444
monsi	435
walo	409
jaki	387
waso	385
nena	334
loje	330
ko	321
pipi	317
pan	313
mun	266
alasa	256
palisa	224
jelo	218
laso	213
kala	199
unpa	150
oko	115
mu	101
namako	63
pu	12
